,Total Population,Population in Households,Population in Familes,Population in Group Qrtrs,Population Density2,Diversity Index3,Median Household Income,Average Household Income,Per Capita Income,Total Housing Units,Owner Occupied HU,Renter Occupied HU,Vacant Housing Units,Median Home Value,Average Home Value,Total Households,Average Household Size,Family Households,Average Family Size
98002,35047,34605,26256,442,4906,70,"$47,844","$61,905","$24,440","14,495 (100%)","6,511 (44.9%)","7,088 (48.9%)",896 ( 6.2%),"$194,413","$208,432",13599,2.54,8167,3
98003,49533,48929,38209,604,4238,80,"$57,052","$76,301","$29,554","19,978 (100%)","9,320 (46.7%)","9,595 (48.0%)","1,063 ( 5.3%)","$278,121","$316,089",18915,2.59,11705,3
98004,35086,34949,24385,137,4799,56,"$107,731","$158,537","$76,582","20,893 (100%)","7,651 (36.6%)","9,270 (44.4%)","3,972 (19.0%)","$1,000,431","$1,150,686",16921,2.07,8508,3
98005,18904,18710,14550,194,2531,62,"$105,278","$146,602","$60,616","8,251 (100%)","4,250 (51.5%)","3,521 (42.7%)",480 ( 5.8%),"$707,360","$755,712",7771,2.41,4858,3
98006,40644,40394,35618,250,3800,59,"$126,485","$174,989","$62,605","15,041 (100%)","11,513 (76.5%)","2,979 (19.8%)",549 ( 3.7%),"$711,450","$782,541",14492,2.79,11329,3
98007,28610,28495,21439,115,6364,72,"$84,485","$111,357","$44,984","12,093 (100%)","4,495 (37.2%)","7,027 (58.1%)",571 ( 4.7%),"$513,841","$582,108",11522,2.47,6994,3
98012,66836,66716,55795,120,4180,58,"$100,640","$121,442","$44,992","25,559 (100%)","17,654 (69.1%)","7,074 (27.7%)",831 ( 3.3%),"$434,070","$488,218",24728,2.7,17533,3
98020,20082,19966,15549,116,3880,32,"$96,486","$136,082","$61,144","9,386 (100%)","6,529 (69.6%)","2,465 (26.3%)",392 ( 4.2%),"$588,797","$673,748",8994,2.22,5516,3
98021,30869,30718,26011,151,3092,51,"$103,460","$127,776","$47,306","11,755 (100%)","9,032 (76.8%)","2,356 (20.0%)",367 ( 3.1%),"$428,770","$473,588",11388,2.7,8229,3
98023,52052,51863,43728,189,4945,74,"$78,431","$93,117","$32,719","19,324 (100%)","11,536 (59.7%)","6,684 (34.6%)","1,104 ( 5.7%)","$329,595","$387,402",18220,2.85,13187,3
98026,39629,39244,31368,385,4207,52,"$85,096","$109,665","$43,831","16,358 (100%)","10,975 (67.1%)","4,744 (29.0%)",639 ( 3.9%),"$408,127","$515,458",15719,2.5,10384,3
98027,27710,27338,22574,372,451,43,"$115,043","$154,230","$62,132","11,766 (100%)","7,695 (65.4%)","3,384 (28.8%)",687 ( 5.8%),"$638,389","$700,640",11079,2.47,7593,3
98028,23963,23857,19677,106,3873,51,"$98,202","$126,394","$48,329","9,726 (100%)","6,470 (66.5%)","2,664 (27.4%)",592 ( 6.1%),"$507,315","$551,074",9134,2.61,6402,3
98032,36196,35246,26190,950,2183,83,"$56,993","$73,697","$29,313","14,926 (100%)","5,973 (40.0%)","7,967 (53.4%)",986 ( 6.6%),"$287,341","$313,678",13940,2.53,7964,3
98033,38927,38341,28562,586,4401,45,"$116,566","$163,601","$72,076","18,163 (100%)","10,463 (57.6%)","6,564 (36.1%)","1,136 ( 6.3%)","$682,272","$786,641",17027,2.25,9824,3
98034,51512,50915,39359,597,5232,55,"$92,163","$116,831","$48,042","21,928 (100%)","13,235 (60.4%)","7,772 (35.4%)",921 ( 4.2%),"$447,886","$525,535",21007,2.42,13172,3
98036,40801,40357,32022,444,4251,65,"$77,253","$94,130","$35,440","15,913 (100%)","9,499 (59.7%)","5,701 (35.8%)",713 ( 4.5%),"$375,134","$408,672",15200,2.66,10014,3
98037,32045,31699,25066,346,5472,68,"$71,756","$91,312","$34,085","12,246 (100%)","6,735 (55.0%)","5,097 (41.6%)",414 ( 3.4%),"$367,412","$407,331",11832,2.68,7693,3
98038,36091,36091,32145,0,571,37,"$108,651","$131,268","$44,690","12,821 (100%)","10,383 (81.0%)","1,904 (14.9%)",534 ( 4.2%),"$394,306","$470,567",12287,2.94,9794,3
98042,48679,48612,42726,67,1779,55,"$95,291","$116,864","$39,671","17,265 (100%)","13,732 (79.5%)","2,773 (16.1%)",760 ( 4.4%),"$378,092","$429,828",16505,2.95,13035,3
98043,21801,21678,16291,123,5165,64,"$64,042","$77,144","$31,672","9,292 (100%)","5,424 (58.4%)","3,472 (37.4%)",396 ( 4.3%),"$306,180","$338,961",8896,2.44,5281,3
98045,15509,15429,13054,80,52,26,"$102,134","$133,993","$49,535","6,313 (100%)","4,341 (68.8%)","1,372 (21.7%)",600 ( 9.5%),"$502,025","$554,797",5713,2.7,4171,3
98050,283,282,258,1,214,32,"$135,294","$161,718","$58,403",116 (100%),90 (77.6%),12 (10.3%),14 (12.1%),"$795,455","$812,222",102,2.76,85,3
98052,69114,68812,54155,302,3468,61,"$105,723","$139,781","$56,884","29,384 (100%)","14,872 (50.6%)","13,180 (44.9%)","1,332 ( 4.5%)","$612,518","$657,566",28052,2.45,17836,3
98055,23143,22950,17513,193,5012,76,"$69,922","$85,984","$34,567","9,706 (100%)","4,796 (49.4%)","4,431 (45.7%)",479 ( 4.9%),"$336,152","$363,814",9227,2.49,5568,3
98056,36542,36319,28325,223,5200,74,"$80,005","$104,237","$40,236","14,673 (100%)","8,160 (55.6%)","5,872 (40.0%)",641 ( 4.4%),"$426,087","$477,301",14032,2.59,8845,3
98057,13147,13038,8154,109,2085,76,"$54,892","$74,608","$36,643","7,432 (100%)","1,706 (23.0%)","4,701 (63.3%)","1,025 (13.8%)","$339,366","$417,761",6407,2.03,2723,3
98070,11521,11434,8825,87,313,26,"$94,119","$133,679","$57,288","5,868 (100%)","3,803 (64.8%)","1,112 (19.0%)",953 (16.2%),"$594,242","$661,688",4915,2.33,3130,3
98072,24661,24564,20897,97,1373,43,"$114,682","$153,500","$57,959","9,904 (100%)","6,952 (70.2%)","2,338 (23.6%)",614 ( 6.2%),"$607,888","$682,250",9290,2.64,6664,3
98087,35483,35366,27377,117,6181,70,"$72,677","$88,010","$33,274","13,715 (100%)","7,510 (54.8%)","5,860 (42.7%)",345 ( 2.5%),"$344,819","$385,949",13370,2.65,8461,3
98103,51295,50785,27574,510,10301,44,"$84,401","$118,527","$58,235","26,230 (100%)","11,267 (43.0%)","13,788 (52.6%)","1,175 ( 4.5%)","$602,357","$637,898",25055,2.03,10112,3
98105,49971,40094,18285,9877,14326,57,"$51,341","$107,196","$42,160","19,254 (100%)","5,918 (30.7%)","12,275 (63.8%)","1,061 ( 5.5%)","$762,454","$898,251",18193,2.2,6343,3
98106,26762,26647,19803,115,5100,79,"$67,837","$84,109","$32,943","11,517 (100%)","5,541 (48.1%)","4,894 (42.5%)","1,082 ( 9.4%)","$347,497","$382,611",10435,2.55,6264,3
98107,26979,26725,13612,254,11969,38,"$79,413","$104,873","$56,570","15,478 (100%)","5,463 (35.3%)","9,004 (58.2%)","1,011 ( 6.5%)","$549,153","$593,483",14467,1.85,5136,3
98108,25131,24654,19364,477,3383,79,"$61,822","$82,848","$28,362","9,019 (100%)","4,481 (49.7%)","3,929 (43.6%)",609 ( 6.8%),"$373,132","$459,708",8410,2.93,5360,4
98109,27127,26279,10541,848,14311,49,"$80,915","$112,727","$68,594","17,786 (100%)","4,250 (23.9%)","12,086 (68.0%)","1,450 ( 8.2%)","$627,801","$732,494",16336,1.61,4213,3
98110,24388,24137,20190,251,886,27,"$117,325","$172,208","$71,056","11,066 (100%)","7,660 (69.2%)","2,353 (21.3%)","1,053 ( 9.5%)","$730,173","$887,461",10013,2.41,6954,3
98112,22288,22153,14064,135,7096,41,"$110,569","$164,041","$76,369","11,015 (100%)","5,852 (53.1%)","4,496 (40.8%)",667 ( 6.1%),"$915,612","$1,064,354",10348,2.14,4865,3
98116,26354,26133,16902,221,9001,37,"$86,807","$123,249","$62,103","13,984 (100%)","7,028 (50.3%)","6,190 (44.3%)",766 ( 5.5%),"$594,107","$668,754",13218,1.98,6138,3
98117,34078,33810,24356,268,9093,37,"$100,424","$127,672","$54,826","15,107 (100%)","10,096 (66.8%)","4,466 (29.6%)",545 ( 3.6%),"$604,986","$648,616",14562,2.32,8443,3
98118,48087,47251,37541,836,7975,77,"$65,123","$90,564","$32,208","17,895 (100%)","9,281 (51.9%)","7,528 (42.1%)","1,086 ( 6.1%)","$428,080","$523,712",16809,2.81,10831,3
98119,25597,23879,11606,1718,10364,41,"$83,443","$129,281","$68,190","13,896 (100%)","4,865 (35.0%)","8,315 (59.8%)",716 ( 5.2%),"$762,168","$844,080",13180,1.81,4245,3
98121,17021,16546,4634,475,40488,60,"$71,634","$100,781","$73,095","13,829 (100%)","3,171 (22.9%)","9,060 (65.5%)","1,598 (11.6%)","$484,729","$642,455",12231,1.35,2089,2
98122,40100,37169,15135,2931,17626,66,"$61,004","$91,522","$48,372","21,899 (100%)","6,006 (27.4%)","14,704 (67.1%)","1,189 ( 5.4%)","$582,849","$689,956",20710,1.79,5430,3
98125,41315,40886,26885,429,7758,66,"$63,661","$93,359","$43,287","20,314 (100%)","8,717 (42.9%)","10,283 (50.6%)","1,314 ( 6.5%)","$452,893","$521,685",19000,2.15,9309,3
98133,50116,49228,32694,888,7118,65,"$62,159","$83,296","$37,864","23,950 (100%)","10,792 (45.1%)","11,634 (48.6%)","1,524 ( 6.4%)","$389,739","$434,998",22426,2.2,11112,3
98134,814,690,361,124,238,78,"$73,403","$104,152","$42,956",338 (100%),131 (38.8%),164 (48.5%),43 (12.7%),"$337,805","$381,298",295,2.34,103,4
98136,15092,14993,10423,99,6891,39,"$97,511","$143,385","$67,025","7,403 (100%)","4,546 (61.4%)","2,485 (33.6%)",372 ( 5.0%),"$598,732","$652,167",7031,2.13,3700,3
98144,31513,30764,20722,749,9181,79,"$67,994","$98,614","$42,116","14,366 (100%)","6,493 (45.2%)","6,754 (47.0%)","1,119 ( 7.8%)","$485,502","$628,731",13247,2.32,6727,3
98148,9946,9885,7433,61,3345,79,"$55,513","$70,317","$28,158","4,265 (100%)","1,836 (43.0%)","2,117 (49.6%)",312 ( 7.3%),"$328,816","$363,644",3953,2.5,2315,3
98155,35418,34826,27141,592,4623,56,"$83,488","$110,782","$44,691","14,833 (100%)","9,788 (66.0%)","4,317 (29.1%)",728 ( 4.9%),"$415,028","$492,833",14105,2.47,9049,3
98168,37266,36936,28741,330,4099,85,"$55,304","$70,044","$24,175","13,626 (100%)","6,608 (48.5%)","6,093 (44.7%)",925 ( 6.8%),"$302,039","$358,599",12701,2.91,7999,4
98178,26436,26283,21073,153,5260,79,"$66,248","$84,667","$29,971","9,918 (100%)","5,714 (57.6%)","3,582 (36.1%)",622 ( 6.3%),"$365,343","$435,916",9296,2.83,6123,3
98198,38463,37208,29078,1255,4912,78,"$64,868","$85,417","$32,923","15,733 (100%)","8,143 (51.8%)","6,254 (39.8%)","1,336 ( 8.5%)","$334,774","$397,934",14397,2.58,9071,3
98201,33003,29905,19653,3098,1860,55,"$48,804","$65,958","$30,262","14,977 (100%)","5,427 (36.2%)","8,385 (56.0%)","1,165 ( 7.8%)","$294,219","$357,578",13812,2.17,6450,3
98203,36967,36597,28395,370,3104,56,"$67,796","$89,129","$34,765","15,092 (100%)","8,839 (58.6%)","5,438 (36.0%)",815 ( 5.4%),"$319,889","$375,916",14277,2.56,9062,3
98204,43704,43596,31788,108,5710,79,"$51,684","$62,362","$24,713","18,239 (100%)","5,968 (32.7%)","11,292 (61.9%)",979 ( 5.4%),"$254,377","$302,585",17260,2.53,9643,3
98208,58472,58095,47858,377,4369,60,"$81,031","$95,759","$34,804","21,686 (100%)","14,044 (64.8%)","7,073 (32.6%)",569 ( 2.6%),"$343,438","$370,240",21117,2.75,14606,3
98221,21922,21775,17159,147,389,26,"$72,399","$95,803","$42,357","11,650 (100%)","6,600 (56.7%)","3,040 (26.1%)","2,010 (17.3%)","$490,347","$577,845",9640,2.26,6235,3
98223,45109,44901,37511,208,139,35,"$76,268","$88,805","$32,106","17,368 (100%)","12,119 (69.8%)","4,109 (23.7%)","1,140 ( 6.6%)","$347,375","$405,155",16228,2.77,11759,3
98225,48356,43201,22134,5155,3612,39,"$47,120","$66,329","$29,601","21,696 (100%)","7,694 (35.5%)","12,771 (58.9%)","1,231 ( 5.7%)","$381,494","$446,341",20465,2.11,7965,3
98226,45382,45029,34920,353,416,52,"$62,437","$84,560","$33,659","18,938 (100%)","11,178 (59.0%)","6,743 (35.6%)","1,017 ( 5.4%)","$377,969","$458,850",17921,2.51,11402,3
98229,33430,33312,24481,118,640,37,"$65,708","$87,075","$35,886","15,107 (100%)","8,806 (58.3%)","4,925 (32.6%)","1,376 ( 9.1%)","$395,054","$466,920",13731,2.43,8443,3
98230,17367,17312,14063,55,391,35,"$64,964","$88,258","$36,388","9,474 (100%)","5,060 (53.4%)","2,081 (22.0%)","2,333 (24.6%)","$365,659","$424,946",7141,2.42,4800,3
